Store_ID,SKU_ID,Last_Purchase_Date,Avg_Order_Qty,Last_Order_Qty,Category
S045,SKU_37,2023-08-30,31,26,Personal Care
S006,SKU_21,2023-10-13,32,27,Home Care
S033,SKU_34,2023-07-14,36,20,Bev
S021,SKU_38,2023-09-15,30,24,Frozen
S006,SKU_41,2024-02-15,39,29,Bev
S006,SKU_28,2023-12-14,26,24,Snack
S048,SKU_17,2023-09-04,25,22,Home Care
S004,SKU_14,2023-08-01,32,16,Home Care
S030,SKU_7,2023-10-04,34,34,Dairy
S011,SKU_22,2023-08-27,29,29,Health
S030,SKU_1,2023-10-12,32,32,Health
S031,SKU_29,2024-05-07,43,24,Personal Care
S024,SKU_31,2023-11-11,37,32,Grocery
S003,SKU_15,2023-09-05,31,31,Grocery
S031,SKU_18,2023-12-25,30,26,Health
S037,SKU_50,2024-04-19,42,16,Dairy
S036,SKU_30,2024-02-20,33,33,Grocery
S024,SKU_34,2023-11-08,29,21,Bev
S031,SKU_42,2023-10-20,29,22,Personal Care
S006,SKU_11,2023-08-23,29,15,Home Care
S020,SKU_24,2024-02-24,28,26,Grocery
S028,SKU_35,2024-02-25,25,25,Frozen
S004,SKU_8,2023-10-20,28,25,Home Care
S006,SKU_13,2024-02-13,32,30,Personal Care
S005,SKU_28,2024-05-02,27,17,Snack
S019,SKU_46,2023-11-19,25,24,Bev
S020,SKU_7,2023-09-07,30,30,Dairy
S033,SKU_45,2023-09-27,31,24,Dairy
S049,SKU_24,2023-11-13,38,19,Grocery
S001,SKU_36,2024-01-03,35,35,Home Care
S026,SKU_9,2023-07-11,32,32,Confectionery
S014,SKU_48,2023-11-25,31,31,Dairy
S038,SKU_36,2024-04-17,38,29,Home Care
S011,SKU_40,2023-08-07,30,21,Snack
S043,SKU_48,2024-01-26,32,21,Dairy
S003,SKU_5,2023-07-01,24,23,Dairy
S033,SKU_42,2024-06-24,31,31,Personal Care
S006,SKU_45,2023-09-03,27,27,Dairy
S050,SKU_26,2023-07-01,23,11,Home Care
S010,SKU_14,2024-02-28,30,20,Home Care
S023,SKU_29,2023-07-25,31,31,Personal Care
S044,SKU_7,2023-08-19,27,26,Dairy
S013,SKU_18,2024-02-26,25,25,Health
S040,SKU_23,2023-08-01,26,13,Grocery
S002,SKU_44,2023-08-02,28,16,Snack
S020,SKU_38,2024-01-16,45,45,Frozen
S037,SKU_4,2023-07-26,26,19,Health
S017,SKU_47,2023-08-30,32,32,Bev
S009,SKU_35,2023-08-10,23,23,Frozen
S011,SKU_23,2023-11-07,29,22,Grocery
S015,SKU_27,2024-06-19,30,22,Personal Care
S031,SKU_41,2024-01-20,35,32,Bev
S005,SKU_32,2024-01-23,24,21,Dairy
S050,SKU_20,2024-01-20,34,34,Bev
S011,SKU_32,2024-03-14,33,26,Dairy
S009,SKU_26,2023-11-16,33,21,Home Care
S034,SKU_47,2023-12-19,36,20,Bev
S012,SKU_6,2023-10-09,33,22,Grocery
S035,SKU_36,2024-01-03,34,27,Home Care
S001,SKU_5,2024-04-19,29,22,Dairy
S022,SKU_32,2023-07-21,28,20,Dairy
S029,SKU_16,2024-04-23,28,21,Grocery
S011,SKU_13,2024-01-03,29,26,Personal Care
S037,SKU_8,2023-08-02,40,25,Home Care
S014,SKU_25,2023-09-07,33,24,Confectionery
S030,SKU_40,2023-09-18,44,16,Snack
S037,SKU_28,2024-04-10,36,19,Snack
S005,SKU_14,2024-02-06,30,21,Home Care
S019,SKU_45,2023-08-22,26,26,Dairy
S014,SKU_3,2023-12-07,30,30,Confectionery
S026,SKU_36,2023-08-11,39,39,Home Care
S025,SKU_20,2023-12-06,28,20,Bev
S045,SKU_47,2023-12-31,36,36,Bev
S042,SKU_15,2024-03-02,25,21,Grocery
S025,SKU_27,2023-07-11,25,25,Personal Care
S018,SKU_45,2023-12-01,28,28,Dairy
S040,SKU_41,2024-02-05,26,26,Bev
S008,SKU_28,2023-12-02,31,31,Snack
